bc,bcm,bcode,bname,hd,mbc,oc,sca,sc,st
,,ME,Mechanical Engineering,1444 . Chendu College Of Engineering And Technology,86.25,96.25,,,
,,EE,Electrical And Electronics Engineering,2656 . Erode Builder Educational Trust's Group Of Institutions,,92.50,,,
113.75,116.00,EC,Electronics And Comm. Engineering,5907 . Mohamed Sathak Engineering College,,120.75,,,
,,CS,Computer Science And Engineering,1433 . Sri Aravindar Engineering College,,97.75,,,
,,XC,Civil Engineering (Tm),4024 . University Voc College Of Engineering- Thoothukudi,,101.25,,,
98.50,,ME,Mechanical Engineering,5988 . Theni Kammavar Sangam College Of Technology,84.50,120.25,109.75,100.25,
88.00,93.50,CS,Computer Science And Engineering,1420 . Tagore Engineering College,94.00,124.75,,99.00,
,,CE,Civil Engineering,2707 . Erode Sengunthar Engineering College,,86.75,,,
,,CE,Civil Engineering,1521 . Shri Sapthagiri Institute Of Technology,,124.50,,,
,,EC,Electronics And Comm. Engineering,2665 . Mahendra Institute Of Engineering And Technology,,131.50,,,
,,EE,Electrical And Electronics Engineering,1202 . D M I College Of Engineering,,80.25,,,
185.00,184.00,EE,Electrical And Electronics Engineering,1309 . Meenakshi Sundararajan Engineering College,180.25,188.25,,156.75,
,,ME,Mechanical Engineering,4932 . Immanuel Arasar J J College Of Engineering,,101.50,,,
163.00,148.25,CS,Computer Science And Engineering,2739 . Sri Eshwar College Of Engineering,115.50,172.00,138.50,99.00,
115.00,,CS,Computer Science And Engineering,2636 . A V S Engineering College,114.75,145.50,,,
110.00,,EE,Electrical And Electronics Engineering,2608 . M.Kumarasamy College Of Engineering (AUT),95.75,151.50,141.00,,
,,CS,Computer Science And Engineering,5990 . Latha Mathavan Engineering College,,92.00,,,
,,EC,Electronics And Comm. Engineering,2329 . Rathinam Technical Campus,,97.00,,,
,,CE,Civil Engineering,2356 . Arulmurugan College Of Engineering,,85.50,,,
111.00,,CS,Computer Science And Engineering,2355 . Cheran College Of Engineering,90.75,124.75,,,
,,EC,Electronics And Comm. Engineering,2731 . R V S College Of Engineering And Technology,,86.25,,,
170.25,171.25,EC,Electronics And Comm. Engineering,1014 . University College Of Engineering- Tindivanam,170.75,178.25,81.50,142.75,
,,CE,Civil Engineering,1523 . Global Institute Of Engineering And Technology,,113.50,,,
96.00,,EC,Electronics And Comm. Engineering,4931 . Chandy College Of Engineering,77.50,114.75,,,
,,TX,Textile Technology,5913 . R.V.S. College Of Engineering,,97.75,,,
,,CE,Civil Engineering,1116 . Sri Venkateswara College Of Engineering And Technology,,87.75,,,
,,CE,Civil Engineering,2682 . Professional Group Of Institutions,,97.25,,,
89.25,122.75,CE,Civil Engineering,2611 . Paavai Engineering College (AUT),98.00,138.75,118.50,78.25,
,,CS,Computer Science And Engineering,1235 . J E I Mathaajee College Of Engineering,,94.00,,,
,,EE,Electrical And Electronics Engineering,2648 . Annapoorana Engineering College,,81.25,,,
,,EE,Electrical And Electronics Engineering,2658 . V S A Educational And Charitable Trust's Group Of Institutions,,80.00,,,
,,ME,Mechanical Engineering,1438 . Sree Krishna College Of Engineering,,88.75,,,
,,EC,Electronics And Comm. Engineering,2744 . Adithya Institute Of Technology,,98.50,,,
,,CS,Computer Science And Engineering,1209 . Pallavan College Of Engineering,,99.75,,,
102.75,,CS,Computer Science And Engineering,4979 . V.P.Muthaiah Pillai Meenakshi Ammal Engineering College For Women,89.00,115.50,98.75,,
,,CS,Computer Science And Engineering,2683 . Shreenivasa Engineering College,,91.25,,,
,,EC,Electronics And Comm. Engineering,1123 . Gojan School Of Business And Technology,,99.25,,,
193.75,192.25,CH,Chemical Engineering,1315 . Sri Sivasubramaniya Nadar College Of Engineering,191.50,194.50,152.50,177.75,
,,EC,Electronics And Comm. Engineering,2358 . Scad Institute Of Technology,,138.00,,,
187.75,187.25,CE,Civil Engineering,4974 . Government College Of Engineering - Tirunelveli,180.50,189.75,166.25,170.50,144.75
100.25,135.00,EC,Electronics And Comm. Engineering,2705 . CSI College Of Engineering,,149.50,,,
180.50,171.50,EE,Electrical And Electronics Engineering,2706 . DR.Mahalingam College Of Engineering & Technology (AUT),172.50,184.50,141.00,116.25,
169.25,156.50,CS,Computer Science And Engineering,1118 . Vel Tech Multi Tech Dr.Rangarajan Dr.Sakunthala Engineering College,160.00,174.50,98.75,121.00,
,,EC,Electronics And Comm. Engineering,2707 . Erode Sengunthar Engineering College,,88.50,,,
88.75,,EE,Electrical And Electronics Engineering,4968 . Sardar Raja College Of Engineering,,88.75,,,
130.00,,CS,Computer Science And Engineering,2763 . Akshaya College Of Engineering & Technology,78.50,148.25,,118.50,
,,EE,Electrical And Electronics Engineering,1407 . G.K.M. College Of Engineering And Technology,,94.75,,,
,,CS,Computer Science And Engineering,1510 . Priyadarshini Engineering College,,87.75,,,
128.50,117.50,CS,Computer Science And Engineering,2601 . Adhiyamaan College Of Engineering (AUT),112.50,156.75,,110.75,
,,CE,Civil Engineering,4950 . Tamizhan College Of Engineering And Technology,,107.75,,,
,,CS,Computer Science And Engineering,4987 . K N S K College Of Engineering,,86.50,,,
,,ME,Mechanical Engineering,2738 . Sasurie Academy Of Engineering,,96.75,,,
,,ME,Mechanical Engineering,5914 . Raja College Of Engineering And Technology,,86.75,,,
178.25,162.25,CE,Civil Engineering,2702 . Bannari Amman Institute Of Technology (AUT),168.00,181.00,142.25,139.25,
,91.25,ME,Mechanical Engineering,4967 . S.Veerasamy Chettiar College Of Engineering And Technology,82.00,97.75,,90.75,
,511,CE,Civil Engineering,4961 . National College Of Engineering,,95.00,,,
101.25,129.50,CS,Computer Science And Engineering,2745 . Kathir College Of Engineering,91.25,139.50,,,
182.00,169.75,CS,Computer Science And Engineering,2618 . Sona College Of Technology,175.25,185.25,126.75,117.50,147.75
,,ME,Mechanical Engineering,5916 . Pannai College Of Engineering And Technology,,101.75,,,
85.00,,ME,Mechanical Engineering,2657 . Pavai College Of Technology,80.50,88.50,,,
,,EC,Electronics And Comm. Engineering,1303 . Anand Institute Of Higher Technology,,94.00,,,
101.25,,ME,Mechanical Engineering,1126 . JNN  Institute Of Engineering,94.25,114.00,,,
152.25,153.00,CE,Civil Engineering,1014 . University College Of Engineering- Tindivanam,163.00,171.00,147.75,156.25,144.25
,,CE,Civil Engineering,4969 . Scad College Of Engineering And Technology,,108.00,,,
88.75,,ME,Mechanical Engineering,1430 . Maha Barathi Engineering College,81.75,98.50,,,
,,EE,Electrical And Electronics Engineering,1201 . Arignar Anna Institute Of Science And Technology,,77.75,,,
171.50,167.00,CE,Civil Engineering,1149 . ST.Joseph's Institute Of Technology,167.00,174.50,85.00,154.00,
,,EE,Electrical And Electronics Engineering,1106 . Jaya Engineering College,,101.25,,93.75,100.75
,,ME,Mechanical Engineering,1411 . Madha Engineering College,,83.50,,,
,,EE,Electrical And Electronics Engineering,2744 . Adithya Institute Of Technology,,115.50,,,
163.00,154.75,ME,Mechanical Engineering,5904 . K.L.N.College Of Engineering,152.00,169.00,130.25,115.75,
,,CE,Civil Engineering,4964 . PSN College Of Engineering And Technology (AUT),,100.50,,,
179.50,163.50,CE,Civil Engineering,2711 . Kongu Engineering College,171.25,184.25,101.25,129.50,
181.25,173.75,ME,Mechanical Engineering,1120 . Velammal Engineering College,175.50,185.00,128.25,154.25,153.50
,,EC,Electronics And Comm. Engineering,5911 . P.T.R.College Of Engineering And Technology,,91.25,,,
,,ME,Mechanical Engineering,1334 . Ars College Of Engineering,,87.00,,,
,,ME,Mechanical Engineering,1440 . Jaya Suriya Engineering College,,128.25,,,
148.50,158.75,ME,Mechanical Engineering,1509 . Meenakshi College Of Engineering,144.75,160.25,,120.00,
88.50,,CS,Computer Science And Engineering,5902 . Bharath Niketan Engineering College,82.50,105.75,,,
103.00,,EE,Electrical And Electronics Engineering,1401 . Adhiparasakthi Engineering College,117.50,144.00,,94.75,
155.50,155.00,CS,Computer Science And Engineering,1307 . Jerusalem College Of Engineering,144.25,164.25,117.25,106.00,
175.75,168.00,CS,Computer Science And Engineering,1324 . Sri Sai Ram Institute Of Technology,167.25,179.50,,126.00,
,,CS,Computer Science And Engineering,2643 . Bharathiyar Institute Of Engineering For Women,,101.75,,,
185.75,182.50,EC,Electronics And Comm. Engineering,2722 . Sri Krishna College Of Technology (AUT),177.00,188.00,136.75,146.50,
,,EC,Electronics And Comm. Engineering,5533 . KIR & Kim Technical Campus,,103.50,,,
,,EC,Electronics And Comm. Engineering,4982 . Vins Christian College Of Engineering,,90.75,,,
121.00,133.50,ME,Mechanical Engineering,1505 . C.Abdul Hakeem College Of Engineering And Technology,114.00,142.75,,92.00,
158.00,141.00,EE,Electrical And Electronics Engineering,2726 . SNS College Of Technology (AUT),143.00,168.75,,147.00,
91.50,,CS,Computer Science And Engineering,2707 . Erode Sengunthar Engineering College,91.25,116.25,,,
106.00,,CS,Computer Science And Engineering,4970 . Sree Sowdambika College Of Engineering,87.00,124.75,,,
,,ME,Mechanical Engineering,2340 . Sri Venkateshwara Institute Of Engineering,,157.25,,,
95.00,,ME,Mechanical Engineering,4970 . Sree Sowdambika College Of Engineering,97.00,104.75,,,
,,EE,Electrical And Electronics Engineering,4984 . Marthandam College Of Engineering And Technology,,117.25,,,
,,EC,Electronics And Comm. Engineering,1521 . Shri Sapthagiri Institute Of Technology,,118.75,,,
171.25,172.00,ME,Mechanical Engineering,4023 . University College Of Engineering- Nagercoil,163.00,179.50,120.50,155.75,
105.00,112.75,ME,Mechanical Engineering,2656 . Erode Builder Educational Trust's Group Of Institutions,123.50,138.50,,,
85.00,,CE,Civil Engineering,2705 . CSI College Of Engineering,,92.00,,,
90.75,,ME,Mechanical Engineering,1322 . Dhanalakshmi Srinivasan College Of Engineering And Technology,84.25,97.50,,158.25,
94.50,,EC,Electronics And Comm. Engineering,2734 . S N S College Of Engineering,101.75,130.25,,115.25,
,,CE,Civil Engineering,1525 . Podhigai College Of Engineering And Technology,,96.25,,,
,,CS,Computer Science And Engineering,1514 . Sri Nandhanam College Of Engineering And Technology,,127.00,,,
157.50,159.75,ME,Mechanical Engineering,1311 . K.C.G. College Of Technology,155.25,167.00,,122.50,
,,EC,Electronics And Comm. Engineering,2749 . Easa College Of Engineering And Technology,,105.75,,,
,,ME,Mechanical Engineering,2707 . Erode Sengunthar Engineering College,93.25,105.50,,,
104.50,,CH,Chemical Engineering,1127 . ST.Peter's College Of Engineering And Technology,107.50,132.25,,119.50,
120.50,104.75,EE,Electrical And Electronics Engineering,1114 . S.A. Engineering College,99.50,140.00,,94.50,
192.00,189.00,CS,Computer Science And Engineering,1113 . R.M.K. Engineering College,187.50,193.50,153.75,172.50,
,,EC,Electronics And Comm. Engineering,1229 . Indira Institute Of Engineering And Technology,,94.75,,,
88.75,,EC,Electronics And Comm. Engineering,1501 . Adhiparasakthi College Of Engineering,89.75,128.00,,,
93.00,104.50,EE,Electrical And Electronics Engineering,2624 . Gnanamani College Of Technology,103.25,138.75,,,
91.25,,EE,Electrical And Electronics Engineering,2611 . Paavai Engineering College (AUT),90.75,135.00,,,
,,CS,Computer Science And Engineering,1428 . E.S Engineering College,,93.25,,,
141.50,90.75,ME,Mechanical Engineering,2608 . M.Kumarasamy College Of Engineering (AUT),115.50,162.00,,86.50,
161.50,147.00,ME,Mechanical Engineering,4971 . St.Xavier's Catholic College Of Engineering,127.00,168.50,,119.75,
,,EE,Electrical And Electronics Engineering,2649 . Karur College Of Engineering,,139.25,,,
,,CE,Civil Engineering,5535 . Vpv College Of Engineering,,99.75,,,
,,ME,Mechanical Engineering,2659 . Salem College Of Engineering And Technology,,104.75,,,
154.75,159.25,CE,Civil Engineering,4024 . University Voc College Of Engineering- Thoothukudi,138.75,162.75,,135.50,96.00
87.50,103.50,CE,Civil Engineering,1512 . Ranippettai Engineering College,84.25,136.75,,103.25,
,,EC,Electronics And Comm. Engineering,1524 . Annamalaiar College Of Engineering,,131.00,,,
137.50,117.00,ME,Mechanical Engineering,2735 . Karpagam Institute Of Technology,130.00,154.00,,109.25,
,,EE,Electrical And Electronics Engineering,4676 . Renganayagi Varatharaj College Of Engineering,,93.00,,,
,,EE,Electrical And Electronics Engineering,2635 . CMS College Of Engineering,,109.00,,,
,,EE,Electrical And Electronics Engineering,2717 . Sasurie College Of Engineering,,92.75,,,
,,EC,Electronics And Comm. Engineering,2632 . Mahendra Institute Of Technology,,86.00,,,
,102.25,EE,Electrical And Electronics Engineering,1325 . ST.Joseph College Of Engineering,,113.75,,,
,,EE,Electrical And Electronics Engineering,1521 . Shri Sapthagiri Institute Of Technology,,164.50,,,
87.75,110.75,ME,Mechanical Engineering,2763 . Akshaya College Of Engineering & Technology,81.25,128.75,,94.75,
,,EE,Electrical And Electronics Engineering,4985 . K N S K College Of Engineering,,99.50,,,
,,EC,Electronics And Comm. Engineering,4980 . Einstein College Of Engineering,,84.25,,,
170.00,149.50,CS,Computer Science And Engineering,1399 . Chennai Institute Of Technology,156.00,185.50,,102.00,
,,ME,Mechanical Engineering,2350 . Jairupaa College Of Engineering,,107.75,,,
173.75,164.00,ME,Mechanical Engineering,1422 . Valliammai Engineering College,167.00,177.25,87.50,132.75,91.75
137.25,,EC,Electronics And Comm. Engineering,2661 . Vivekanandha College Of Technology For Women,115.75,152.75,,,
139.25,,EC,Electronics And Comm. Engineering,1110 . Prathyusha Engineering College,106.75,152.50,144.50,97.25,
127.50,128.00,CE,Civil Engineering,5903 . K.L.N.College Of Information Technology,93.50,140.75,,80.75,
86.25,,ME,Mechanical Engineering,2632 . Mahendra Institute Of Technology,80.75,97.50,,,
,,EC,Electronics And Comm. Engineering,1434 . Surya Group Of Institutions,,96.25,,,
176.75,166.00,ME,Mechanical Engineering,1231 . Panimalar Institute Of Technology,173.00,180.50,118.75,145.50,88.00
93.75,,CS,Computer Science And Engineering,4968 . Sardar Raja College Of Engineering,88.75,141.50,,,
,,CS,Computer Science And Engineering,5911 . P.T.R.College Of Engineering And Technology,,90.25,,,
89.50,104.75,EC,Electronics And Comm. Engineering,2621 . Er.Perumal Manimekalai College Of Engineering,87.50,136.50,,,
,,ME,Mechanical Engineering,2663 . S R S College Of Engineering And Technology,,99.75,,,
,,EE,Electrical And Electronics Engineering,5990 . Latha Mathavan Engineering College,,100.00,,,
,,XC,Civil Engineering (Tm),5017 . University College Of Engineering- Ramanathapuram,,87.00,,,
,,EC,Electronics And Comm. Engineering,1526 . Sri Krishna College Of Engineering,,81.25,,,
193.50,188.50,EC,Electronics And Comm. Engineering,5901 . A.C.College Of Engineering And Technology (AUT),190.75,194.25,164.00,180.75,126.00
,,CE,Civil Engineering,4946 . Dmi Engineering College,,90.00,,,
100.75,86.00,CS,Computer Science And Engineering,1213 . S.K.R. Engineering College,79.25,132.50,,88.25,
184.50,170.75,ME,Mechanical Engineering,2702 . Bannari Amman Institute Of Technology (AUT),178.25,187.00,121.75,132.50,100.75
,,ME,Mechanical Engineering,2714 . Maharaja Engineering College,,93.50,,,
,,EC,Electronics And Comm. Engineering,1517 . Thirumalai Engineering College,,162.50,,,
,,EE,Electrical And Electronics Engineering,1141 . R.V.S. Padhmavathy College Of Engineering & Technology,,157.00,,,
162.25,142.00,CS,Computer Science And Engineering,2369 . Government College Of Engineering - Dharmapuri,168.00,171.25,148.25,140.25,
86.75,,EE,Electrical And Electronics Engineering,1501 . Adhiparasakthi College Of Engineering,99.50,110.50,,,
,,EE,Electrical And Electronics Engineering,1426 . Sri Ramanujar Engineering College,,98.00,,,
,,CE,Civil Engineering,5531 . C.R. Engineering College,,142.00,,,
,,CE,Civil Engineering,2635 . CMS College Of Engineering,,80.75,,,
,,EE,Electrical And Electronics Engineering,1424 . Dhaanish Ahmed College Of Engineering,,95.00,,,
,,ME,Mechanical Engineering,1335 . Sri Krishna Institute Of Technology,,98.00,,,
167.75,157.25,ME,Mechanical Engineering,2369 . Government College Of Engineering - Dharmapuri,172.00,177.75,155.00,159.50,113.75
,,EE,Electrical And Electronics Engineering,5902 . Bharath Niketan Engineering College,80.00,92.25,,,
150.50,109.50,ME,Mechanical Engineering,2764 . K P R Institute Of Engineering And Technology,134.00,165.00,142.00,109.75,
,,ME,Mechanical Engineering,1228 . Alpha College Of Engineering,,88.50,,,
86.50,,CS,Computer Science And Engineering,2347 . Avs College Of Technology,87.50,126.25,,,
